"Function","Noise","N_Train","N_Tree","Coverage_Mean","Coverage_SD"
"func_cos_p2","normal",25,20,0.557395,0.166373508515748
"func_cos_p2","normal",25,50,0.49073,0.160142690445921
"func_cos_p2","normal",25,100,0.492435,0.131154047728574
"func_cos_p2","normal",25,150,0.492895,0.108207861675207
"func_cos_p2","normal",25,200,0.48019,0.10151663888213
"func_cos_p2","normal",50,20,0.716605,0.13088357517514
"func_cos_p2","normal",50,50,0.562395,0.153570876177826
"func_cos_p2","normal",50,100,0.504985,0.173195587570483
"func_cos_p2","normal",50,150,0.488915,0.167953665811881
"func_cos_p2","normal",50,200,0.533545,0.125645812307358
"func_cos_p2","normal",100,20,0.88027,0.0704365698763068
"func_cos_p2","normal",100,50,0.703545,0.132475345888095
"func_cos_p2","normal",100,100,0.494785,0.1725430425396
"func_cos_p2","normal",100,150,0.426735,0.150438322901758
"func_cos_p2","normal",100,200,0.396945,0.146738226931866
"func_cos_p2","normal",150,20,0.94597,0.0382881712823997
"func_cos_p2","normal",150,50,0.779755,0.110841257824378
"func_cos_p2","normal",150,100,0.491135,0.112953787764847
"func_cos_p2","normal",150,150,0.41337,0.0707577539876262
"func_cos_p2","normal",150,200,0.381055,0.0787563545592268
"func_cos_p2","normal",200,20,0.979415,0.0193137341240511
"func_cos_p2","normal",200,50,0.83984,0.0811686224051998
"func_cos_p2","normal",200,100,0.548425,0.112999431652928
"func_cos_p2","normal",200,150,0.44128,0.0628598440978022
"func_cos_p2","normal",200,200,0.411365,0.0517856268947495
"func_cos_p2","t",25,20,0.62271,0.154598601931901
"func_cos_p2","t",25,50,0.576575,0.14848048866361
"func_cos_p2","t",25,100,0.557015,0.120973079608543
"func_cos_p2","t",25,150,0.560505,0.112773621469066
"func_cos_p2","t",25,200,0.546375,0.108419168809826
"func_cos_p2","t",50,20,0.766455,0.12044047386307
"func_cos_p2","t",50,50,0.672655,0.121755418482401
"func_cos_p2","t",50,100,0.64149,0.129245739011511
"func_cos_p2","t",50,150,0.63168,0.120204660896544
"func_cos_p2","t",50,200,0.613355,0.101371220204328
"func_cos_p2","t",100,20,0.90497,0.0643081483551047
"func_cos_p2","t",100,50,0.788725,0.0888771751105935
"func_cos_p2","t",100,100,0.716745,0.118553838007319
"func_cos_p2","t",100,150,0.678925,0.145048654441841
"func_cos_p2","t",100,200,0.671485,0.153471784855938
"func_cos_p2","t",150,20,0.96237,0.0295317356164737
"func_cos_p2","t",150,50,0.850935,0.0696249586151072
"func_cos_p2","t",150,100,0.779585,0.101495374538112
"func_cos_p2","t",150,150,0.709775,0.15519256168711
"func_cos_p2","t",150,200,0.66998,0.174849852092995
"func_cos_p2","t",200,20,0.983215,0.0146070939266665
"func_cos_p2","t",200,50,0.884755,0.0580850640152366
"func_cos_p2","t",200,100,0.8033,0.098963297923218
"func_cos_p2","t",200,150,0.719605,0.147657987179647
"func_cos_p2","t",200,200,0.687855,0.167946551275139
"func_xor_p50","normal",25,20,0.397745,0.188069589250901
"func_xor_p50","normal",25,50,0.231535,0.157608167972123
"func_xor_p50","normal",25,100,0.16036,0.144122651747972
"func_xor_p50","normal",25,150,0.135935,0.13376508707919
"func_xor_p50","normal",25,200,0.14506,0.143562536564251
"func_xor_p50","normal",50,20,0.482735,0.129428083687884
"func_xor_p50","normal",50,50,0.25395,0.139749211465622
"func_xor_p50","normal",50,100,0.145005,0.108391659525245
"func_xor_p50","normal",50,150,0.106195,0.0971972749135827
"func_xor_p50","normal",50,200,0.09172,0.0985683056422955
"func_xor_p50","normal",100,20,0.66941,0.0670446819176106
"func_xor_p50","normal",100,50,0.29703,0.112130782486133
"func_xor_p50","normal",100,100,0.159545,0.093426035103111
"func_xor_p50","normal",100,150,0.099675,0.0810662303877094
"func_xor_p50","normal",100,200,0.064015,0.0660195898245476
"func_xor_p50","normal",150,20,0.733585,0.0378144497053215
"func_xor_p50","normal",150,50,0.357695,0.107790091076758
"func_xor_p50","normal",150,100,0.177675,0.0901915776372258
"func_xor_p50","normal",150,150,0.10765,0.0744796990052308
"func_xor_p50","normal",150,200,0.061225,0.0588428890263933
"func_xor_p50","normal",200,20,0.79457,0.0387955905305168
"func_xor_p50","normal",200,50,0.422215,0.101423669213314
"func_xor_p50","normal",200,100,0.189165,0.0926020010664119
"func_xor_p50","normal",200,150,0.11853,0.0709439335268397
"func_xor_p50","normal",200,200,0.06994,0.0627499824761081
"func_xor_p50","t",25,20,0.448835,0.182648333716801
"func_xor_p50","t",25,50,0.307425,0.191288990980076
"func_xor_p50","t",25,100,0.257315,0.193535476662076
"func_xor_p50","t",25,150,0.231535,0.187847946228474
"func_xor_p50","t",25,200,0.230615,0.186861405155913
"func_xor_p50","t",50,20,0.5765,0.137324415117883
"func_xor_p50","t",50,50,0.332005,0.168553242222329
"func_xor_p50","t",50,100,0.25419,0.169115238253458
"func_xor_p50","t",50,150,0.21923,0.166894221898957
"func_xor_p50","t",50,200,0.201675,0.170054228045616
"func_xor_p50","t",100,20,0.733165,0.0691706166701318
"func_xor_p50","t",100,50,0.388255,0.135144904966284
"func_xor_p50","t",100,100,0.24878,0.134386461008003
"func_xor_p50","t",100,150,0.209635,0.132858214038854
"func_xor_p50","t",100,200,0.18813,0.142727962495775
"func_xor_p50","t",150,20,0.805035,0.0488918685675857
"func_xor_p50","t",150,50,0.45701,0.116587140385457
"func_xor_p50","t",150,100,0.286125,0.123745532310938
"func_xor_p50","t",150,150,0.218955,0.118723106069488
"func_xor_p50","t",150,200,0.190555,0.116355181645423
"func_xor_p50","t",200,20,0.851305,0.0508439745631027
"func_xor_p50","t",200,50,0.48753,0.105666231508477
"func_xor_p50","t",200,100,0.28214,0.112142320960358
"func_xor_p50","t",200,150,0.22773,0.111251649082424
"func_xor_p50","t",200,200,0.19141,0.106940087693482
"func_and_p500","normal",25,20,0.38009,0.175560090177574
"func_and_p500","normal",25,50,0.194135,0.172338978713348
"func_and_p500","normal",25,100,0.12189,0.141924219604251
"func_and_p500","normal",25,150,0.105895,0.140582101610529
"func_and_p500","normal",25,200,0.092105,0.131756131433896
"func_and_p500","normal",50,20,0.5293,0.129955805096177
"func_and_p500","normal",50,50,0.191585,0.134316716106239
"func_and_p500","normal",50,100,0.09396,0.110052884985966
"func_and_p500","normal",50,150,0.063145,0.0951522667078884
"func_and_p500","normal",50,200,0.05456,0.0893694222543998
"func_and_p500","normal",100,20,0.680815,0.0530762517161922
"func_and_p500","normal",100,50,0.295605,0.125812423431569
"func_and_p500","normal",100,100,0.099135,0.0863895808195957
"func_and_p500","normal",100,150,0.05839,0.0627024472587042
"func_and_p500","normal",100,200,0.038385,0.0565648364871414
"func_and_p500","normal",150,20,0.775655,0.0467638548485981
"func_and_p500","normal",150,50,0.420355,0.11438704018553
"func_and_p500","normal",150,100,0.163055,0.0933711540360032
"func_and_p500","normal",150,150,0.09375,0.0675908188809137
"func_and_p500","normal",150,200,0.06302,0.0514076498798128
"func_and_p500","normal",200,20,0.85868,0.0589797773422242
"func_and_p500","normal",200,50,0.58792,0.117348029382687
"func_and_p500","normal",200,100,0.303855,0.1238705321974
"func_and_p500","normal",200,150,0.2084,0.110749463244851
"func_and_p500","normal",200,200,0.161255,0.0880900369595156
"func_and_p500","t",25,20,0.4101,0.194243652383361
"func_and_p500","t",25,50,0.2121,0.178174001855892
"func_and_p500","t",25,100,0.154015,0.170310728186272
"func_and_p500","t",25,150,0.14167,0.176459900093058
"func_and_p500","t",25,200,0.12551,0.169141366627924
"func_and_p500","t",50,20,0.53305,0.133952512814143
"func_and_p500","t",50,50,0.22489,0.14767181624563
"func_and_p500","t",50,100,0.12382,0.130184552248377
"func_and_p500","t",50,150,0.09616,0.119727235528589
"func_and_p500","t",50,200,0.08033,0.118540544759503
"func_and_p500","t",100,20,0.71096,0.0606200079462921
"func_and_p500","t",100,50,0.324105,0.136877161602734
"func_and_p500","t",100,100,0.124625,0.102219378683526
"func_and_p500","t",100,150,0.081695,0.0881643314973291
"func_and_p500","t",100,200,0.05877,0.0751501561203454
"func_and_p500","t",150,20,0.79617,0.0450782788942765
"func_and_p500","t",150,50,0.46117,0.113504180970325
"func_and_p500","t",150,100,0.203985,0.108012390336319
"func_and_p500","t",150,150,0.12444,0.0865505279285562
"func_and_p500","t",150,200,0.09083,0.0698750126546229
"func_and_p500","t",200,20,0.848,0.0720232488223582
"func_and_p500","t",200,50,0.616235,0.108318544315397
"func_and_p500","t",200,100,0.3202,0.127671099996969
"func_and_p500","t",200,150,0.240725,0.121904372625279
"func_and_p500","t",200,200,0.19082,0.102819049754806
"func_poly_deg2_p2","normal",25,20,0.64206,0.211821829892595
"func_poly_deg2_p2","normal",25,50,0.508085,0.195699126583037
"func_poly_deg2_p2","normal",25,100,0.559235,0.199916285173805
"func_poly_deg2_p2","normal",25,150,0.608095,0.188736468684589
"func_poly_deg2_p2","normal",25,200,0.64682,0.164510202165523
"func_poly_deg2_p2","normal",50,20,0.80289,0.161463196455179
"func_poly_deg2_p2","normal",50,50,0.512385,0.139297923724242
"func_poly_deg2_p2","normal",50,100,0.46882,0.124002779498317
"func_poly_deg2_p2","normal",50,150,0.523085,0.175672607248095
"func_poly_deg2_p2","normal",50,200,0.585765,0.183201806841732
"func_poly_deg2_p2","normal",100,20,0.938085,0.0632693472445534
"func_poly_deg2_p2","normal",100,50,0.58536,0.0951540126073946
"func_poly_deg2_p2","normal",100,100,0.48603,0.0620223833797142
"func_poly_deg2_p2","normal",100,150,0.474435,0.0837226641132229
"func_poly_deg2_p2","normal",100,200,0.51246,0.124262832451309
"func_poly_deg2_p2","normal",150,20,0.976255,0.0229394970807075
"func_poly_deg2_p2","normal",150,50,0.63699,0.0891706139711395
"func_poly_deg2_p2","normal",150,100,0.50914,0.0553659088216668
"func_poly_deg2_p2","normal",150,150,0.483075,0.0608655560624149
"func_poly_deg2_p2","normal",150,200,0.48899,0.0872651012417727
"func_poly_deg2_p2","normal",200,20,0.990085,0.010990210955305
"func_poly_deg2_p2","normal",200,50,0.69023,0.0774778299601786
"func_poly_deg2_p2","normal",200,100,0.535695,0.0487569489938406
"func_poly_deg2_p2","normal",200,150,0.497355,0.0484280617815725
"func_poly_deg2_p2","normal",200,200,0.49247,0.0683442495101289
"func_poly_deg2_p2","t",25,20,0.767415,0.176679787024032
"func_poly_deg2_p2","t",25,50,0.69301,0.210352133219216
