"Function","Noise","N_Train","N_Tree","Normal_Pct_Finite"
"func_cos_p2","normal",25,20,60
"func_cos_p2","normal",25,50,59
"func_cos_p2","normal",25,100,64
"func_cos_p2","normal",25,150,65
"func_cos_p2","normal",25,200,66.5
"func_cos_p2","normal",50,20,70.5
"func_cos_p2","normal",50,50,75
"func_cos_p2","normal",50,100,68.5
"func_cos_p2","normal",50,150,70.5
"func_cos_p2","normal",50,200,70
"func_cos_p2","normal",100,20,66.5
"func_cos_p2","normal",100,50,68.5
"func_cos_p2","normal",100,100,65.5
"func_cos_p2","normal",100,150,75
"func_cos_p2","normal",100,200,72.5
"func_cos_p2","normal",150,20,72.5
"func_cos_p2","normal",150,50,75
"func_cos_p2","normal",150,100,75.5
"func_cos_p2","normal",150,150,72
"func_cos_p2","normal",150,200,78.5
"func_cos_p2","normal",200,20,77
"func_cos_p2","normal",200,50,81.5
"func_cos_p2","normal",200,100,81
"func_cos_p2","normal",200,150,83
"func_cos_p2","normal",200,200,84
"func_cos_p2","t",25,20,15.5
"func_cos_p2","t",25,50,16
"func_cos_p2","t",25,100,15
"func_cos_p2","t",25,150,14.5
"func_cos_p2","t",25,200,15
"func_cos_p2","t",50,20,8
"func_cos_p2","t",50,50,9
"func_cos_p2","t",50,100,5.5
"func_cos_p2","t",50,150,7.5
"func_cos_p2","t",50,200,11
"func_cos_p2","t",100,20,2.5
"func_cos_p2","t",100,50,6.5
"func_cos_p2","t",100,100,8
"func_cos_p2","t",100,150,9.5
"func_cos_p2","t",100,200,4
"func_cos_p2","t",150,20,1.5
"func_cos_p2","t",150,50,3
"func_cos_p2","t",150,100,4.5
"func_cos_p2","t",150,150,1
"func_cos_p2","t",150,200,4.5
"func_cos_p2","t",200,20,1.5
"func_cos_p2","t",200,50,4
"func_cos_p2","t",200,100,2.5
"func_cos_p2","t",200,150,2.5
"func_cos_p2","t",200,200,3.5
"func_cos_p10","normal",25,20,94
"func_cos_p10","normal",25,50,96
"func_cos_p10","normal",25,100,95.5
"func_cos_p10","normal",25,150,93.5
"func_cos_p10","normal",25,200,90.5
"func_cos_p10","normal",50,20,94
"func_cos_p10","normal",50,50,92
"func_cos_p10","normal",50,100,93
"func_cos_p10","normal",50,150,93.5
"func_cos_p10","normal",50,200,95
"func_cos_p10","normal",100,20,96
"func_cos_p10","normal",100,50,95.5
"func_cos_p10","normal",100,100,92.5
"func_cos_p10","normal",100,150,94
"func_cos_p10","normal",100,200,97
"func_cos_p10","normal",150,20,96.5
"func_cos_p10","normal",150,50,94
"func_cos_p10","normal",150,100,96.5
"func_cos_p10","normal",150,150,96.5
"func_cos_p10","normal",150,200,95.5
"func_cos_p10","normal",200,20,96.5
"func_cos_p10","normal",200,50,95.5
"func_cos_p10","normal",200,100,94
"func_cos_p10","normal",200,150,95.5
"func_cos_p10","normal",200,200,97
"func_cos_p10","t",25,20,43
"func_cos_p10","t",25,50,54.5
"func_cos_p10","t",25,100,50.5
"func_cos_p10","t",25,150,46.5
"func_cos_p10","t",25,200,48.5
"func_cos_p10","t",50,20,51.5
"func_cos_p10","t",50,50,53
"func_cos_p10","t",50,100,45.5
"func_cos_p10","t",50,150,53
"func_cos_p10","t",50,200,59.5
"func_cos_p10","t",100,20,59.5
"func_cos_p10","t",100,50,54
"func_cos_p10","t",100,100,60
"func_cos_p10","t",100,150,50
"func_cos_p10","t",100,200,52
"func_cos_p10","t",150,20,43
"func_cos_p10","t",150,50,48
"func_cos_p10","t",150,100,46.5
"func_cos_p10","t",150,150,52.5
"func_cos_p10","t",150,200,59.5
"func_cos_p10","t",200,20,57.5
"func_cos_p10","t",200,50,55.5
"func_cos_p10","t",200,100,62.5
"func_cos_p10","t",200,150,48.5
"func_cos_p10","t",200,200,51.5
